Date,Open Price,High Price,Low Price,Close Price,Traded Value^,No. Of Trades,Traded Quantity
25-01-2018,"3,175.00","3,179.80","3,081.00","3,121.05",598.67,72537,1916922
24-01-2018,"3,090.00","3,259.05","3,082.65","3,174.60",896.52,111512,2810769
23-01-2018,"3,114.95","3,142.35","3,090.05","3,102.00",504.09,68887,1619805
22-01-2018,"2,961.00","3,134.70","2,922.00","3,116.40",666.46,97757,2183555
19-01-2018,"2,930.55","2,982.00","2,903.65","2,959.30",266.70,44039,910000
18-01-2018,"2,897.00","2,933.00","2,868.05","2,918.20",319.97,51786,1104739
17-01-2018,"2,870.00","2,925.00","2,862.15","2,888.95",620.79,94873,2140403
16-01-2018,"2,756.00","2,861.65","2,750.55","2,850.85",604.85,85776,2133876
15-01-2018,"2,777.15","2,808.00","2,735.05","2,746.10",201.70,49926,728607
12-01-2018,"2,805.00","2,805.00","2,740.55","2,776.35",464.44,90884,1680157
11-01-2018,"2,810.00","2,821.90","2,782.20","2,790.50",352.52,71604,1260524
10-01-2018,"2,711.00","2,816.00","2,694.65","2,806.60",465.04,70764,1682925
09-01-2018,"2,715.00","2,721.00","2,676.55","2,709.00",290.55,47403,1074698
08-01-2018,"2,700.00","2,726.85","2,681.85","2,714.40",168.30,43815,621110
05-01-2018,"2,650.00","2,699.50","2,650.00","2,689.20",154.88,30836,576853
04-01-2018,"2,650.00","2,662.00","2,640.00","2,657.10",120.98,32647,456541
03-01-2018,"2,632.00","2,669.00","2,631.20","2,638.65",166.52,32104,628560
02-01-2018,"2,660.00","2,669.60","2,620.20","2,631.20",253.58,46813,960145
01-01-2018,"2,682.30","2,694.80","2,635.00","2,645.60",179.44,19464,675880
29-12-2017,"2,623.10","2,708.90","2,618.55","2,701.20",349.41,51608,1304771
28-12-2017,"2,608.80","2,653.50","2,605.65","2,626.95",342.63,47992,1302544
27-12-2017,"2,649.45","2,658.50","2,610.50","2,619.90",97.30,20483,369642
26-12-2017,"2,686.00","2,689.75","2,631.60","2,649.45",288.68,52053,1087893
22-12-2017,"2,604.00","2,663.90","2,590.20","2,646.75",483.19,85852,1832832
21-12-2017,"2,587.00","2,608.00","2,580.05","2,595.70",167.86,40095,646824
20-12-2017,"2,582.00","2,592.75","2,550.65","2,588.95",203.00,68386,788785
19-12-2017,"2,576.00","2,597.80","2,564.70","2,575.30",232.74,76762,900976
18-12-2017,"2,537.00","2,588.95","2,494.35","2,580.50",277.88,71724,1090332
15-12-2017,"2,563.75","2,584.45","2,536.85","2,545.60",346.96,97835,1359069
14-12-2017,"2,632.00","2,632.00","2,531.10","2,557.80",704.20,118270,2752075
13-12-2017,"2,611.40","2,651.45","2,601.00","2,628.40",389.74,48513,1480729
12-12-2017,"2,661.00","2,662.00","2,607.40","2,612.15",246.96,57531,941123
11-12-2017,"2,608.35","2,672.65","2,608.35","2,661.10",132.83,47999,504001
08-12-2017,"2,618.00","2,645.00","2,597.00","2,601.50",181.62,67356,692774
07-12-2017,"2,632.30","2,645.95","2,615.00","2,617.25",173.99,52980,663150
06-12-2017,"2,636.00","2,645.00","2,612.85","2,633.30",184.91,61422,703759
05-12-2017,"2,631.00","2,651.70","2,628.15","2,635.55",154.23,33907,583957
04-12-2017,"2,622.00","2,658.50","2,602.95","2,632.35",165.56,37609,629552
01-12-2017,"2,635.00","2,668.00","2,621.50","2,629.95",136.51,37693,515572
30-11-2017,"2,653.65","2,666.95","2,623.00","2,637.00",567.89,86807,2149981
29-11-2017,"2,677.50","2,693.00","2,650.00","2,658.15",193.59,41795,723766
28-11-2017,"2,686.00","2,702.40","2,670.00","2,685.30",122.13,29742,455858
